"sample_id","biosample","sample_name","sra","organism","collection_date","geographic_location","tissue","collected_by","isolate","isolation_source","lat_long","lat","lon","accession","id"
"SF99-23-7","SAMN30219695","AWJG01H08","SRS14596026","Haliotis rufescens","1999-08-20","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01H08","Crescent City","41.74355833 N 124.20152777 W",41.74355833,-124.20152777,"SAMN30219695","30219695"
"PO2126","SAMN30219694","AWJG01G08","SRS14596025","Haliotis rufescens","2021-06-17","USA:Oregon","epipodial","ODFW","Haliotis_rufescens_AWJG01G08","Port Orford, Nellie's Cove","42.4414 N 124.3025 W",42.4414,-124.3025,"SAMN30219694","30219694"
"SF09-6-23","SAMN30219693","AWJG01F08","SRS14596024","Haliotis rufescens","2008-03-29","USA:Oregon","epipodial","SHL, BML","Haliotis_rufescens_AWJG01F08","Brookings","42.04461111 N 124.28393611 W",42.04461111,-124.28393611,"SAMN30219693","30219693"
"SF98-33-4","SAMN30219692","AWJG01E08","SRS14596023","Haliotis rufescens","1998-12-18","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01E08","Shelter Cover","40.02043888 N 124.06986666 W",40.02043888,-124.06986666,"SAMN30219692","30219692"
"DCHR004","SAMN30219691","AWJG01D08","SRS14596022","Haliotis rufescens","2021-05-05","USA:California","epipodial","Andrew Harmer","Haliotis_rufescens_AWJG01D08","Morro Bay, Pup Rock","35.21835 N 120.86861 W",35.21835,-120.86861,"SAMN30219691","30219691"
"SF07-25-3","SAMN30219690","AWJG01C08","SRS14596020","Haliotis rufescens","2007-07-18","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01C08","Farallones Island","37.70085833 N 122.99649166 W",37.70085833,-122.99649166,"SAMN30219690","30219690"
"SF11-27-4","SAMN30219689","AWJG01A08","SRS14596019","Haliotis rufescens","2011-08-15","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01A08","Salt Point","38.563975 N 123.33383888 W",38.563975,-123.33383888,"SAMN30219689","30219689"
"SF99-23-6","SAMN30219688","AWJG01H07","SRS14596018","Haliotis rufescens","1999-08-20","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01H07","Crescent City","41.74355833 N 124.20152777 W",41.74355833,-124.20152777,"SAMN30219688","30219688"
"PO2125","SAMN30219687","AWJG01G07","SRS14596017","Haliotis rufescens","2021-06-17","USA:Oregon","epipodial","ODFW","Haliotis_rufescens_AWJG01G07","Port Orford, Nellie's Cove","42.4414 N 124.3025 W",42.4414,-124.3025,"SAMN30219687","30219687"
"SF09-6-22","SAMN30219686","AWJG01F07","SRS14596016","Haliotis rufescens","2008-03-29","USA:Oregon","epipodial","SHL, BML","Haliotis_rufescens_AWJG01F07","Brookings","42.04461111 N 124.28393611 W",42.04461111,-124.28393611,"SAMN30219686","30219686"
"SF98-33-3","SAMN30219685","AWJG01E07","SRS14596015","Haliotis rufescens","1998-12-18","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01E07","Shelter Cover","40.02043888 N 124.06986666 W",40.02043888,-124.06986666,"SAMN30219685","30219685"
"DCHR003","SAMN30219684","AWJG01D07","SRS14596014","Haliotis rufescens","2021-05-05","USA:California","epipodial","Andrew Harmer","Haliotis_rufescens_AWJG01D07","Morro Bay, Pup Rock","35.21835 N 120.86861 W",35.21835,-120.86861,"SAMN30219684","30219684"
"ENS 2","SAMN30219683","AWJG01B07","SRS14596013","Haliotis rufescens","2019/2020","Mexico:Baja California","epipodial","Fabiola Lafarga","Haliotis_rufescens_AWJG01B07","Ensenada","31.86674 N 116.59637 W",31.86674,-116.59637,"SAMN30219683","30219683"
