"sample_id","biosample","sample_name","sra","organism","collection_date","geographic_location","tissue","collected_by","isolate","isolation_source","lat_long","lat","lon","accession","id"
"1: PL8","SAMN30219899","AWJG03H12","SRS14596090","Haliotis rufescens","2021-05-18","USA:California","epipodial","Ian Taniguchi","Haliotis_rufescens_AWJG03H12","Point Loma","32.67363333 N 117.24614722 W",32.67363333,-117.24614722,"SAMN30219899","30219899"
"SF99-36-4","SAMN30219898","AWJG03G12","SRS14596089","Haliotis rufescens","1999-10-22","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03G12","Trinidad","41.05053333 N 124.15049166 W",41.05053333,-124.15049166,"SAMN30219898","30219898"
"SF07-7-8","SAMN30219897","AWJG03E12","SRS14596088","Haliotis rufescens","2007-08-06","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03E12","Timber Cove","38.530525 N 123.27260555 W",38.530525,-123.27260555,"SAMN30219897","30219897"
"SF07-3-12","SAMN30219896","AWJG03D12","SRS14596087","Haliotis rufescens","2007-02-05","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03D12","VanDamme","39.26975833 N 123.79865833 W",39.26975833,-123.79865833,"SAMN30219896","30219896"
"PO2147","SAMN30219895","AWJG03C12","SRS14596086","Haliotis rufescens","2021-06-17","USA:Oregon","epipodial","ODFW","Haliotis_rufescens_AWJG03C12","Port Orford, Nellie's Cove","42.4414 N 124.3025 W",42.4414,-124.3025,"SAMN30219895","30219895"
"HC2121","SAMN30219894","AWJG03B12","SRS14596085","Haliotis rufescens","2021-05-28","USA:Oregon","epipodial","ODFW","Haliotis_rufescens_AWJG03B12","Brookings, Hooskanaden Creek","42.2217 N 124.3813 W",42.2217,-124.3813,"SAMN30219894","30219894"
"H13","SAMN30219893","AWJG03A12","SRS14596084","Haliotis rufescens","2011-02-02","USA:California","epipodial","De Wit/Lee/Leary","Haliotis_rufescens_AWJG03A12","Hopkins (Monterey)","36.62073333 N 121.90196666 W",36.62073333,-121.90196666,"SAMN30219893","30219893"
"SF11-27-9","SAMN30219892","AWJG03G11","SRS14596010","Haliotis rufescens","2011-08-15","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03G11","Salt Point","38.563975 N 123.33383888 W",38.563975,-123.33383888,"SAMN30219892","30219892"
"SF07-3-17","SAMN30219891","AWJG03F11","SRS14596009","Haliotis rufescens","2007-02-05","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03F11","VanDamme","39.26975833 N 123.79865833 W",39.26975833,-123.79865833,"SAMN30219891","30219891"
"RR2101","SAMN30219890","AWJG03E11","SRS14596008","Haliotis rufescens","2021-05-21","USA:Oregon","epipodial","ODFW","Haliotis_rufescens_AWJG03E11","Rogue Reef, Gold Beach","42.2638 N 124.2802 W",42.2638,-124.2802,"SAMN30219890","30219890"
"SJ 7","SAMN30219889","AWJG03D11","SRS14596007","Haliotis rufescens","2016","Mexico:Baja California","epipodial","Fabiola Lafarga","Haliotis_rufescens_AWJG03D11","Punta San Jose","31.46263611 N 116.59057777 W",31.46263611,-116.59057777,"SAMN30219889","30219889"
"ST4","SAMN30219888","AWJG03C11","SRS14596006","Haliotis rufescens","2014","Mexico:Baja California","epipodial","Fabiola Lafarga","Haliotis_rufescens_AWJG03C11","Santo Tomas","31.54910277 N 116.68323611 W",31.54910277,-116.68323611,"SAMN30219888","30219888"
"PO2145","SAMN30219887","AWJG03B11","SRS14596005","Haliotis rufescens","2021-06-17","USA:Oregon","epipodial","ODFW","Haliotis_rufescens_AWJG03B11","Port Orford, Nellie's Cove","42.4414 N 124.3025 W",42.4414,-124.3025,"SAMN30219887","30219887"
"LR2116","SAMN30219886","AWJG03A11","SRS14596004","Haliotis rufescens","2021-05-26","USA:Oregon","epipodial","ODFW","Haliotis_rufescens_AWJG03A11","Brookings, Lone Ranch","42.0558 N 124.2057 W",42.0558,-124.2057,"SAMN30219886","30219886"
"SJ 6","SAMN30219885","AWJG03G10",NA,"Haliotis rufescens","2016","Mexico:Baja California","epipodial","Fabiola Lafarga","Haliotis_rufescens_AWJG03G10","Punta San Jose","31.46263611 N 116.59057777 W",31.46263611,-116.59057777,"SAMN30219885","30219885"
"SF98-33-2","SAMN30219884","AWJG03F10","SRS14596003","Haliotis rufescens","1998-12-18","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03F10","Shelter Cover","40.02043888 N 124.06986666 W",40.02043888,-124.06986666,"SAMN30219884","30219884"
"DCHR010","SAMN30219883","AWJG03E10","SRS14596002","Haliotis rufescens","2021-05-06","USA:California","epipodial","Andrew Harmer","Haliotis_rufescens_AWJG03E10","Morro Bay, Diablo Cove","35.21 N 120.8573 W",35.21,-120.8573,"SAMN30219883","30219883"
"SF11-27-8","SAMN30219882","AWJG03D10","SRS14596001","Haliotis rufescens","2011-08-15","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03D10","Salt Point","38.563975 N 123.33383888 W",38.563975,-123.33383888,"SAMN30219882","30219882"
"ST3","SAMN30219881","AWJG03C10","SRS14595999","Haliotis rufescens","2014","Mexico:Baja California","epipodial","Fabiola Lafarga","Haliotis_rufescens_AWJG03C10","Santo Tomas","31.54910277 N 116.68323611 W",31.54910277,-116.68323611,"SAMN30219881","30219881"
"HC2123","SAMN30219880","AWJG03B10","SRS14595998","Haliotis rufescens","2021-05-28","USA:Oregon","epipodial","ODFW","Haliotis_rufescens_AWJG03B10","Brookings, Hooskanaden Creek","42.2217 N 124.3813 W",42.2217,-124.3813,"SAMN30219880","30219880"
"ST 16","SAMN30219879","AWJG03A10","SRS14595997","Haliotis rufescens","2014","Mexico:Baja California","epipodial","Fabiola Lafarga","Haliotis_rufescens_AWJG03A10","Santo Tomas","31.54910277 N 116.68323611 W",31.54910277,-116.68323611,"SAMN30219879","30219879"
"SJ 5","SAMN30219878","AWJG03G09","SRS14595996","Haliotis rufescens","2016","Mexico:Baja California","epipodial","Fabiola Lafarga","Haliotis_rufescens_AWJG03G09","Punta San Jose","31.46263611 N 116.59057777 W",31.46263611,-116.59057777,"SAMN30219878","30219878"
"SF98-33-1","SAMN30219877","AWJG03F09","SRS14595995","Haliotis rufescens","1998-12-18","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03F09","Shelter Cover","40.02043888 N 124.06986666 W",40.02043888,-124.06986666,"SAMN30219877","30219877"
"DCHR009","SAMN30219876","AWJG03E09","SRS14595994","Haliotis rufescens","2021-05-06","USA:California","epipodial","Andrew Harmer","Haliotis_rufescens_AWJG03E09","Morro Bay, Diablo Cove","35.21 N 120.8573 W",35.21,-120.8573,"SAMN30219876","30219876"
"SF11-27-7","SAMN30219875","AWJG03D09","SRS14595993","Haliotis rufescens","2011-08-15","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03D09","Salt Point","38.563975 N 123.33383888 W",38.563975,-123.33383888,"SAMN30219875","30219875"
"CH2120","SAMN30219874","AWJG03C09","SRS14595992","Haliotis rufescens","2021-05-26","USA:Oregon","epipodial","ODFW","Haliotis_rufescens_AWJG03C09","Charleston, South Cove","43.34013888 N 124.37816111 W",43.34013888,-124.37816111,"SAMN30219874","30219874"
"HC2122","SAMN30219873","AWJG03B09","SRS14595991","Haliotis rufescens","2021-05-28","USA:Oregon","epipodial","ODFW","Haliotis_rufescens_AWJG03B09","Brookings, Hooskanaden Creek","42.2217 N 124.3813 W",42.2217,-124.3813,"SAMN30219873","30219873"
"SF07-32-10","SAMN30219872","AWJG03A09","SRS14595990","Haliotis rufescens","2007-08-25","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03A09","San Miguel Isle","34.05266111 N 120.34653611 W",34.05266111,-120.34653611,"SAMN30219872","30219872"
"SF14-34-7","SAMN30219871","AWJG03G08","SRS14595988","Haliotis rufescens","2014-06-15","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03G08","Muniz Ranch","38.45571944 N 123.14509722 W",38.45571944,-123.14509722,"SAMN30219871","30219871"
"SF14-34-4","SAMN30219870","AWJG03F08","SRS14595987","Haliotis rufescens","2014-06-15","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03F08","Muniz Ranch","38.45571944 N 123.14509722 W",38.45571944,-123.14509722,"SAMN30219870","30219870"
"SF14-34-3","SAMN30219869","AWJG03E08","SRS14595921","Haliotis rufescens","2014-06-15","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03E08","Muniz Ranch","38.45571944 N 123.14509722 W",38.45571944,-123.14509722,"SAMN30219869","30219869"
"SF07-25-8","SAMN30219868","AWJG03D08","SRS14595920","Haliotis rufescens","2007-07-18","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03D08","Farallones Island","37.70085833 N 122.99649166 W",37.70085833,-122.99649166,"SAMN30219868","30219868"
"SF03-19-1","SAMN30219867","AWJG03C08","SRS14595919","Haliotis rufescens","2003-04-30","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03C08","Point Reyes","37.98801666 N 122.96269722 W",37.98801666,-122.96269722,"SAMN30219867","30219867"
"PL1","SAMN30219866","AWJG03B08","SRS14595918","Haliotis rufescens","2021-05-18","USA:California","epipodial","Ian Taniguchi","Haliotis_rufescens_AWJG03B08","Point Loma","32.67363333 N 117.24614722 W",32.67363333,-117.24614722,"SAMN30219866","30219866"
"SF10-15-5","SAMN30219865","AWJG03A08","SRS14595917","Haliotis rufescens","2010-05-14","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03A08","Bodega Bay","38.31356666 N 123.07554722 W",38.31356666,-123.07554722,"SAMN30219865","30219865"
"PL7","SAMN30219864","AWJG03H07","SRS14595916","Haliotis rufescens","2021-05-18","USA:California","epipodial","Ian Taniguchi","Haliotis_rufescens_AWJG03H07","Point Loma","32.67363333 N 117.24614722 W",32.67363333,-117.24614722,"SAMN30219864","30219864"
"SF99-36-3","SAMN30219863","AWJG03G07","SRS14595915","Haliotis rufescens","1999-10-22","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03G07","Trinidad","41.05053333 N 124.15049166 W",41.05053333,-124.15049166,"SAMN30219863","30219863"
"SF99-38-1","SAMN30219862","AWJG03F07","SRS14595914","Haliotis rufescens","1999-10-27","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03F07","House Cove","39.36008333 N 123.82366666 W",39.36008333,-123.82366666,"SAMN30219862","30219862"
"SF07-7-7","SAMN30219861","AWJG03E07","SRS14595912","Haliotis rufescens","2007-08-06","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03E07","Timber Cove","38.530525 N 123.27260555 W",38.530525,-123.27260555,"SAMN30219861","30219861"
"SF07-3-11","SAMN30219860","AWJG03D07","SRS14595911","Haliotis rufescens","2007-02-05","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03D07","VanDamme","39.26975833 N 123.79865833 W",39.26975833,-123.79865833,"SAMN30219860","30219860"
"PO2146","SAMN30219859","AWJG03C07","SRS14595910","Haliotis rufescens","2021-06-17","USA:Oregon","epipodial","ODFW","Haliotis_rufescens_AWJG03C07","Port Orford, Nellie's Cove","42.4414 N 124.3025 W",42.4414,-124.3025,"SAMN30219859","30219859"
"LR2117","SAMN30219858","AWJG03B07","SRS14595909","Haliotis rufescens","2021-05-26","USA:Oregon","epipodial","ODFW","Haliotis_rufescens_AWJG03B07","Brookings, Lone Ranch","42.0558 N 124.2057 W",42.0558,-124.2057,"SAMN30219858","30219858"
"H12","SAMN30219857","AWJG03A07","SRS14595908","Haliotis rufescens","2011-02-02","USA:California","epipodial","De Wit/Lee/Leary","Haliotis_rufescens_AWJG03A07","Hopkins (Monterey)","36.62073333 N 121.90196666 W",36.62073333,-121.90196666,"SAMN30219857","30219857"
"SF99-36-14","SAMN30219856","AWJG03G06","SRS14595907","Haliotis rufescens","1999-10-22","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03G06","Trinidad","41.05053333 N 124.15049166 W",41.05053333,-124.15049166,"SAMN30219856","30219856"
"PL11","SAMN30219855","AWJG03F06","SRS14595906","Haliotis rufescens","2021-05-18","USA:California","epipodial","Ian Taniguchi","Haliotis_rufescens_AWJG03F06","Point Loma","32.67363333 N 117.24614722 W",32.67363333,-117.24614722,"SAMN30219855","30219855"
"LR2115","SAMN30219854","AWJG03E06","SRS14595905","Haliotis rufescens","2021-05-26","USA:Oregon","epipodial","ODFW","Haliotis_rufescens_AWJG03E06","Brookings, Lone Ranch","42.0558 N 124.2057 W",42.0558,-124.2057,"SAMN30219854","30219854"
"ST 15","SAMN30219853","AWJG03D06","SRS14595904","Haliotis rufescens","2014","Mexico:Baja California","epipodial","Fabiola Lafarga","Haliotis_rufescens_AWJG03D06","Santo Tomas","31.54910277 N 116.68323611 W",31.54910277,-116.68323611,"SAMN30219853","30219853"
"DCHR011","SAMN30219852","AWJG03C06","SRS14595903","Haliotis rufescens","2021-05-06","USA:California","epipodial","Andrew Harmer","Haliotis_rufescens_AWJG03C06","Morro Bay, Diablo Cove","35.21 N 120.8573 W",35.21,-120.8573,"SAMN30219852","30219852"
"SF03-19-12","SAMN30219851","AWJG03B06","SRS14595901","Haliotis rufescens","2003-04-30","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03B06","Point Reyes","37.98801666 N 122.96269722 W",37.98801666,-122.96269722,"SAMN30219851","30219851"
"SF07-7-11","SAMN30219850","AWJG03A06","SRS14595900","Haliotis rufescens","2007-08-06","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03A06","Timber Cove","38.530525 N 123.27260555 W",38.530525,-123.27260555,"SAMN30219850","30219850"
"SF98-33-6","SAMN30219849","AWJG03H05","SRS14595899","Haliotis rufescens","1998-12-18","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03H05","Shelter Cover","40.02043888 N 124.06986666 W",40.02043888,-124.06986666,"SAMN30219849","30219849"
"SF99-36-13","SAMN30219848","AWJG03G05","SRS14595898","Haliotis rufescens","1999-10-22","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03G05","Trinidad","41.05053333 N 124.15049166 W",41.05053333,-124.15049166,"SAMN30219848","30219848"
"CH2119","SAMN30219847","AWJG03F05","SRS14596058","Haliotis rufescens","2021-05-26","USA:Oregon","epipodial","ODFW","Haliotis_rufescens_AWJG03F05","Charleston, South Cove","43.34013888 N 124.37816111 W",43.34013888,-124.37816111,"SAMN30219847","30219847"
"LR2114","SAMN30219846","AWJG03E05","SRS14596057","Haliotis rufescens","2021-05-26","USA:Oregon","epipodial","ODFW","Haliotis_rufescens_AWJG03E05","Brookings, Lone Ranch","42.0558 N 124.2057 W",42.0558,-124.2057,"SAMN30219846","30219846"
"ST 14","SAMN30219845","AWJG03D05","SRS14596056","Haliotis rufescens","2014","Mexico:Baja California","epipodial","Fabiola Lafarga","Haliotis_rufescens_AWJG03D05","Santo Tomas","31.54910277 N 116.68323611 W",31.54910277,-116.68323611,"SAMN30219845","30219845"
"H11","SAMN30219844","AWJG03C05","SRS14596055","Haliotis rufescens","2011-02-02","USA:California","epipodial","De Wit/Barshis/Sommer","Haliotis_rufescens_AWJG03C05","Hopkins (Monterey)","36.62073333 N 121.90196666 W",36.62073333,-121.90196666,"SAMN30219844","30219844"
"SF03-19-11","SAMN30219843","AWJG03B05","SRS14596054","Haliotis rufescens","2003-04-30","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03B05","Point Reyes","37.98801666 N 122.96269722 W",37.98801666,-122.96269722,"SAMN30219843","30219843"
"SF11-27-14","SAMN30219842","AWJG03A05","SRS14596053","Haliotis rufescens","2011-08-15","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03A05","Salt Point","38.563975 N 123.33383888 W",38.563975,-123.33383888,"SAMN30219842","30219842"
"SF98-33-5","SAMN30219841","AWJG03H04","SRS14596050","Haliotis rufescens","1998-12-18","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03H04","Shelter Cover","40.02043888 N 124.06986666 W",40.02043888,-124.06986666,"SAMN30219841","30219841"
"SF99-23-15","SAMN30219840","AWJG03G04","SRS14596049","Haliotis rufescens","1999-08-20","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03G04","Crescent City","41.74355833 N 124.20152777 W",41.74355833,-124.20152777,"SAMN30219840","30219840"
"PO2143","SAMN30219839","AWJG03F04","SRS14596048","Haliotis rufescens","2021-06-17","USA:Oregon","epipodial","ODFW","Haliotis_rufescens_AWJG03F04","Port Orford, Nellie's Cove","42.4414 N 124.3025 W",42.4414,-124.3025,"SAMN30219839","30219839"
"LR2113","SAMN30219838","AWJG03E04","SRS14596047","Haliotis rufescens","2021-05-26","USA:Oregon","epipodial","ODFW","Haliotis_rufescens_AWJG03E04","Brookings, Lone Ranch","42.0558 N 124.2057 W",42.0558,-124.2057,"SAMN30219838","30219838"
"SF07-32-12","SAMN30219837","AWJG03D04","SRS14596046","Haliotis rufescens","2007-08-25","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03D04","San Miguel Isle","34.05266111 N 120.34653611 W",34.05266111,-120.34653611,"SAMN30219837","30219837"
"H10","SAMN30219836","AWJG03C04","SRS14596045","Haliotis rufescens","2011-02-02","USA:California","epipodial","De Wit/Barshis/Sommer","Haliotis_rufescens_AWJG03C04","Hopkins (Monterey)","36.62073333 N 121.90196666 W",36.62073333,-121.90196666,"SAMN30219836","30219836"
"SF10-15-12","SAMN30219835","AWJG03B04","SRS14596044","Haliotis rufescens","2010-05-14","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03B04","Bodega Bay","38.31356666 N 123.07554722 W",38.31356666,-123.07554722,"SAMN30219835","30219835"
"SF11-27-13","SAMN30219834","AWJG03A04","SRS14596043","Haliotis rufescens","2011-08-15","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03A04","Salt Point","38.563975 N 123.33383888 W",38.563975,-123.33383888,"SAMN30219834","30219834"
"SF99-38-14","SAMN30219833","AWJG03H03","SRS14596042","Haliotis rufescens","1999-10-27","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03H03","House Cove","39.36008333 N 123.82366666 W",39.36008333,-123.82366666,"SAMN30219833","30219833"
"SF99-23-14","SAMN30219832","AWJG03G03","SRS14596041","Haliotis rufescens","1999-08-20","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03G03","Crescent City","41.74355833 N 124.20152777 W",41.74355833,-124.20152777,"SAMN30219832","30219832"
"PO2142","SAMN30219831","AWJG03F03","SRS14596039","Haliotis rufescens","2021-06-17","USA:Oregon","epipodial","ODFW","Haliotis_rufescens_AWJG03F03","Port Orford, Nellie's Cove","42.4414 N 124.3025 W",42.4414,-124.3025,"SAMN30219831","30219831"
"LR2112","SAMN30219830","AWJG03E03","SRS14596038","Haliotis rufescens","2021-05-26","USA:Oregon","epipodial","ODFW","Haliotis_rufescens_AWJG03E03","Brookings, Lone Ranch","42.0558 N 124.2057 W",42.0558,-124.2057,"SAMN30219830","30219830"
"SF07-32-11","SAMN30219829","AWJG03D03","SRS14596037","Haliotis rufescens","2007-08-25","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03D03","San Miguel Isle","34.05266111 N 120.34653611 W",34.05266111,-120.34653611,"SAMN30219829","30219829"
"SF07-25-12","SAMN30219828","AWJG03C03","SRS14596036","Haliotis rufescens","2007-07-18","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03C03","Farallones Island","37.70085833 N 122.99649166 W",37.70085833,-122.99649166,"SAMN30219828","30219828"
"SF10-15-11","SAMN30219827","AWJG03B03","SRS14596035","Haliotis rufescens","2010-05-14","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03B03","Bodega Bay","38.31356666 N 123.07554722 W",38.31356666,-123.07554722,"SAMN30219827","30219827"
"SF07-3-20","SAMN30219826","AWJG03A03","SRS14595986","Haliotis rufescens","2007-02-05","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03A03","VanDamme","39.26975833 N 123.79865833 W",39.26975833,-123.79865833,"SAMN30219826","30219826"
"SF99-38-13","SAMN30219825","AWJG03H02","SRS14595985","Haliotis rufescens","1999-10-27","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03H02","House Cove","39.36008333 N 123.82366666 W",39.36008333,-123.82366666,"SAMN30219825","30219825"
"PL12","SAMN30219824","AWJG03G02","SRS14595984","Haliotis rufescens","2021-05-18","USA:California","epipodial","Ian Taniguchi","Haliotis_rufescens_AWJG03G02","Point Loma","32.67363333 N 117.24614722 W",32.67363333,-117.24614722,"SAMN30219824","30219824"
"PO2141","SAMN30219823","AWJG03F02","SRS14595983","Haliotis rufescens","2021-06-17","USA:Oregon","epipodial","ODFW","Haliotis_rufescens_AWJG03F02","Port Orford, Nellie's Cove","42.4414 N 124.3025 W",42.4414,-124.3025,"SAMN30219823","30219823"
"LR2111","SAMN30219822","AWJG03E02","SRS14595982","Haliotis rufescens","2021-05-26","USA:Oregon","epipodial","ODFW","Haliotis_rufescens_AWJG03E02","Brookings, Lone Ranch","42.0558 N 124.2057 W",42.0558,-124.2057,"SAMN30219822","30219822"
"DCHR012","SAMN30219821","AWJG03D02","SRS14595980","Haliotis rufescens","2021-05-06","USA:California","epipodial","Andrew Harmer","Haliotis_rufescens_AWJG03D02","Morro Bay, Diablo Cove","35.21 N 120.8573 W",35.21,-120.8573,"SAMN30219821","30219821"
"SF07-25-11","SAMN30219820","AWJG03C02","SRS14595979","Haliotis rufescens","2007-07-18","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03C02","Farallones Island","37.70085833 N 122.99649166 W",37.70085833,-122.99649166,"SAMN30219820","30219820"
"SF07-7-12","SAMN30219819","AWJG03B02","SRS14595978","Haliotis rufescens","2007-08-06","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03B02","Timber Cove","38.530525 N 123.27260555 W",38.530525,-123.27260555,"SAMN30219819","30219819"
"SF07-3-19","SAMN30219818","AWJG03A02","SRS14595977","Haliotis rufescens","2007-02-05","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03A02","VanDamme","39.26975833 N 123.79865833 W",39.26975833,-123.79865833,"SAMN30219818","30219818"
"SF98-33-10","SAMN30219817","AWJG03H01","SRS14595976","Haliotis rufescens","1998-12-18","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03H01","Shelter Cover","40.02043888 N 124.06986666 W",40.02043888,-124.06986666,"SAMN30219817","30219817"
"SF99-23-12","SAMN30219816","AWJG03G01","SRS14595975","Haliotis rufescens","1999-08-20","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03G01","Crescent City","41.74355833 N 124.20152777 W",41.74355833,-124.20152777,"SAMN30219816","30219816"
"PO2135","SAMN30219815","AWJG03F01","SRS14595974","Haliotis rufescens","2021-06-17","USA:Oregon","epipodial","ODFW","Haliotis_rufescens_AWJG03F01","Port Orford, Nellie's Cove","42.4414 N 124.3025 W",42.4414,-124.3025,"SAMN30219815","30219815"
"LR2107","SAMN30219814","AWJG03E01","SRS14595973","Haliotis rufescens","2021-05-26","USA:Oregon","epipodial","ODFW","Haliotis_rufescens_AWJG03E01","Brookings, Lone Ranch","42.0558 N 124.2057 W",42.0558,-124.2057,"SAMN30219814","30219814"
"ST 12","SAMN30219813","AWJG03D01","SRS14595972","Haliotis rufescens","2014","Mexico:Baja California","epipodial","Fabiola Lafarga","Haliotis_rufescens_AWJG03D01","Santo Tomas","31.54910277 N 116.68323611 W",31.54910277,-116.68323611,"SAMN30219813","30219813"
"SF07-7-9","SAMN30219812","AWJG03A01","SRS14595971","Haliotis rufescens","2007-08-06","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03A01","Timber Cove","38.530525 N 123.27260555 W",38.530525,-123.27260555,"SAMN30219812","30219812"
"SF98-33-9","SAMN30219811","AWJG02H12","SRS14595969","Haliotis rufescens","1998-12-18","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG02H12","Shelter Cover","40.02043888 N 124.06986666 W",40.02043888,-124.06986666,"SAMN30219811","30219811"
"PL10","SAMN30219810","AWJG02G12","SRS14595968","Haliotis rufescens","2021-05-18","USA:California","epipodial","Ian Taniguchi","Haliotis_rufescens_AWJG02G12","Point Loma","32.67363333 N 117.24614722 W",32.67363333,-117.24614722,"SAMN30219810","30219810"
"PO2134","SAMN30219809","AWJG02F12","SRS14595967","Haliotis rufescens","2021-06-17","USA:Oregon","epipodial","ODFW","Haliotis_rufescens_AWJG02F12","Port Orford, Nellie's Cove","42.4414 N 124.3025 W",42.4414,-124.3025,"SAMN30219809","30219809"
"LR2106","SAMN30219808","AWJG02E12","SRS14595966","Haliotis rufescens","2021-05-26","USA:Oregon","epipodial","ODFW","Haliotis_rufescens_AWJG02E12","Brookings, Lone Ranch","42.0558 N 124.2057 W",42.0558,-124.2057,"SAMN30219808","30219808"
"H8","SAMN30219807","AWJG02C12","SRS14595965","Haliotis rufescens","2011-02-02","USA:California","epipodial","De Wit/Barshis/Sommer","Haliotis_rufescens_AWJG02C12","Hopkins (Monterey)","36.62073333 N 121.90196666 W",36.62073333,-121.90196666,"SAMN30219807","30219807"
"SF10-15-10","SAMN30219806","AWJG02B12","SRS14595964","Haliotis rufescens","2010-05-14","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG02B12","Bodega Bay","38.31356666 N 123.07554722 W",38.31356666,-123.07554722,"SAMN30219806","30219806"
"SF11-27-12","SAMN30219805","AWJG02A12","SRS14595963","Haliotis rufescens","2011-08-15","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG02A12","Salt Point","38.563975 N 123.33383888 W",38.563975,-123.33383888,"SAMN30219805","30219805"
"SF99-36-12","SAMN30219804","AWJG02H11","SRS14595897","Haliotis rufescens","1999-10-22","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG02H11","Trinidad","41.05053333 N 124.15049166 W",41.05053333,-124.15049166,"SAMN30219804","30219804"
"PL9","SAMN30219803","AWJG02G11","SRS14595896","Haliotis rufescens","2021-05-18","USA:California","epipodial","Ian Taniguchi","Haliotis_rufescens_AWJG02G11","Point Loma","32.67363333 N 117.24614722 W",32.67363333,-117.24614722,"SAMN30219803","30219803"
"LR2110","SAMN30219802","AWJG02F11","SRS14595895","Haliotis rufescens","2021-05-26","USA:Oregon","epipodial","ODFW","Haliotis_rufescens_AWJG02F11","Brookings, Lone Ranch","42.0558 N 124.2057 W",42.0558,-124.2057,"SAMN30219802","30219802"
"ENS 9","SAMN30219801","AWJG02E11","SRS14595893","Haliotis rufescens","2019/2020","Mexico:Baja California","epipodial","Fabiola Lafarga","Haliotis_rufescens_AWJG02E11","Ensenada","31.86674 N 116.59637 W",31.86674,-116.59637,"SAMN30219801","30219801"
"SF07-25-10","SAMN30219800","AWJG02C11","SRS14595892","Haliotis rufescens","2007-07-18","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG02C11","Farallones Island","37.70085833 N 122.99649166 W",37.70085833,-122.99649166,"SAMN30219800","30219800"
"SF10-15-9","SAMN30219799","AWJG02B11","SRS14595891","Haliotis rufescens","2010-05-14","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG02B11","Bodega Bay","38.31356666 N 123.07554722 W",38.31356666,-123.07554722,"SAMN30219799","30219799"
"SF11-27-11","SAMN30219798","AWJG02A11","SRS14595890","Haliotis rufescens","2011-08-15","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG02A11","Salt Point","38.563975 N 123.33383888 W",38.563975,-123.33383888,"SAMN30219798","30219798"
