Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,tissue
SRR20994056,WGS,302,20407365818,PRJNA867688,SAMN30219796,Invertebrate,6622042188,UCLA,ODFW,2021-05-26,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX17010751,USA,North America,USA:Oregon,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG02G10,"Charleston\, South Cove",43.34013888 N 124.37816111 W,AWJG02G10,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T17:29:00Z,1,AWJG02G10,SRP390753,epipodial
SRR20994057,WGS,302,18839658450,PRJNA867688,SAMN30219795,Invertebrate,6036266811,UCLA,ODFW,2021-05-26,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX17010750,USA,North America,USA:Oregon,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG02F10,"Brookings\, Lone Ranch",42.0558 N 124.2057 W,AWJG02F10,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T16:54:00Z,1,AWJG02F10,SRP390753,epipodial
SRR20994058,WGS,302,20320041914,PRJNA867688,SAMN30219794,Invertebrate,6606782586,UCLA,Fabiola Lafarga,2016,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX17010749,Mexico,North America,Mexico:Baja California,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG02E10,Punta San Jose,31.46263611 N 116.59057777 W,AWJG02E10,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T16:52:00Z,1,AWJG02E10,SRP390753,epipodial
SRR20994059,WGS,302,19650923768,PRJNA867688,SAMN30219793,Invertebrate,6238078975,UCLA,"SHL\, BML",2007-07-18,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX17010748,USA,North America,USA:California,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG02C10,Farallones Island,37.70085833 N 122.99649166 W,AWJG02C10,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T18:25:00Z,1,AWJG02C10,SRP390753,epipodial
SRR20994060,WGS,302,20444323672,PRJNA867688,SAMN30219792,Invertebrate,6862243255,UCLA,"SHL\, BML",2014-06-15,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX17010747,USA,North America,USA:California,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG02B10,Muniz Ranch,38.45571944 N 123.14509722 W,AWJG02B10,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T16:51:00Z,1,AWJG02B10,SRP390753,epipodial
SRR20994062,WGS,302,23195776212,PRJNA867688,SAMN30219791,Invertebrate,7610386401,UCLA,"SHL\, BML",1999-08-20,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17010745,USA,North America,USA:California,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG02H09,Crescent City,41.74355833 N 124.20152777 W,AWJG02H09,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T17:34:00Z,1,AWJG02H09,SRP390753,epipodial
SRR20994063,WGS,302,21998655460,PRJNA867688,SAMN30219790,Invertebrate,7112430783,UCLA,ODFW,2021-06-17,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX17010744,USA,North America,USA:Oregon,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG02G09,"Port Orford\, Nellie's Cove",42.4414 N 124.3025 W,AWJG02G09,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T17:02:00Z,1,AWJG02G09,SRP390753,epipodial
SRR20994064,WGS,302,22711819400,PRJNA867688,SAMN30219789,Invertebrate,7406248399,UCLA,ODFW,2021-05-26,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX17010743,USA,North America,USA:Oregon,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG02F09,"Brookings\, Lone Ranch",42.0558 N 124.2057 W,AWJG02F09,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T17:12:00Z,1,AWJG02F09,SRP390753,epipodial
SRR20994065,WGS,302,21486355344,PRJNA867688,SAMN30219788,Invertebrate,7006799386,UCLA,Fabiola Lafarga,2014,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX17010742,Mexico,North America,Mexico:Baja California,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG02E09,Santo Tomas,31.54910277 N 116.68323611 W,AWJG02E09,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T17:08:00Z,1,AWJG02E09,SRP390753,epipodial
SRR20994066,WGS,302,21928733098,PRJNA867688,SAMN30219787,Invertebrate,7056573552,UCLA,"SHL\, BML",1999-10-27,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX17010741,USA,North America,USA:California,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG02D09,House Cove,39.36008333 N 123.82366666 W,AWJG02D09,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T17:20:00Z,1,AWJG02D09,SRP390753,epipodial
